empresaId:ID(Empresa),cnpj,razao_social
22299597000150,22299597000150,RVS SERVICOS DA CONSTRUCAO CIVIL LTDA
48066047000184,48066047000184,IMPRENSA OFICIAL DO ESTADO S/A - IMESP
28165742000196,28165742000196,AUTO POSTO DE COMBUSTIVEIS ALI LTDA
23022114000138,23022114000138,KONICA MINOLTA BUSINESS SOLUTIONS DO BRASIL LTDA
66970229014702,66970229014702,CLARO NXT TELECOMUNICACOES S/A
37587958000130,37587958000130,37.587.958 DANIELLE RUSSEL DE ABREU SIMOES
09665658000197,09665658000197,"OMEGA SERVICOS DE MANUTENCAO,COMERCIO E IMPORTACAO DE MAQUINAS E EQUIPAMENTOS LTDA"
00525528000184,00525528000184,ATALIBA COMERCIO DE PECAS E REPARACAO DE VEICULOS LTDA
13440019000109,13440019000109,INFRAREDES AUTOMACAO COMERCIAL E PROJETOS DE REDES LTDA
11735236000192,11735236000192,OBJECTTI SOLUCOES LTDA
22646044000126,22646044000126,X BRASIL LTDA
04824261000187,04824261000187,ALFAMA COMERCIO E SERVICOS LTDA.
02849186000183,02849186000183,OPERA HOUSE INTERNET LTDA
18422079000104,18422079000104,CLINICA MASTER SAUDE LTDA
66582784000111,66582784000111,"MAPDATA-TECNOLOGIA,INFORMATICA E COMERCIO LTDA"
14220230000170,14220230000170,RYMO-IMAGEM E PRODUTOS GRAFICOS DA AMAZONIA LTDA
16994652000129,16994652000129,KAELY CERTIFICACAO DIGITAL LTDA
06556008000115,06556008000115,C GALATI LTDA
20710305000102,20710305000102,SB SERVICOS DE CONSULTORIA E TREINAMENTO LTDA
04413753000180,04413753000180,BARUK SERVICO DE APOIO ADMINISTRATIVO LTDA
08952981000189,08952981000189,TONY A P ALVES
03203054000142,03203054000142,R DE L FONSECA LTDA
08219844000130,08219844000130,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA
06326436000151,06326436000151,C PRINT COMERCIO DE COPIADORAS LTDA
08342262000146,08342262000146,AMAZONAS SEGURANCA E VIGILANCIA LTDA
13836959000103,13836959000103,ONAP SERVICOS DE LIMPEZA EM PREDIO LTDA
84479997000102,84479997000102,POSTO 3000 LTDA
07359872000190,07359872000190,GEAL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
61198164000160,61198164000160,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS
05423963000111,05423963000111,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL
33000118000764,33000118000764,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL
07153962000120,07153962000120,PODIUM COMERCIO DE PNEUS AUTO CENTER LTDA
02998710000188,02998710000188,SERVCAR DIESEL LTDA
06298508000102,06298508000102,ALIANCA EQUIPAMENTOS PARA CONTEINERES DE MANAUS LTDA
00000000509892,00000000509892,BANCO DO BRASIL SA
01742429000117,01742429000117,R M MACHADO E CIA LIMITADA
24600837000130,24600837000130,OCEAN BLUE BRASIL LTDA
11145420000182,11145420000182,BMM SOLUCOES E TECNOLOGIA LTDA
24875663000118,24875663000118,RONIN LTDA
07908761000195,07908761000195,D. M. DE AGUIAR & CIA LTDA
21279323000136,21279323000136,AV SERVICOS DE DEDETIZACAO LTDA
10826686000128,10826686000128,J Y S EVENTOS E CONSULTORIAS LTDA
04894357000111,04894357000111,BRASIL SHOWS SERVICOS DE CONSTRUCAO LTDA
03892139000266,03892139000266,F ORLANDO D NOGUEIRA LTDA
22428835000180,22428835000180,INSTITUTO JACARANDA
02497153000111,02497153000111,TRAVESSIA CONSULTORIA EDUCACIONAL LTDA
17125122000107,17125122000107,MKN SERVICOS EMPRESARIAIS LTDA
06244934000155,06244934000155,PERIN FILMES LTDA
02646893000172,02646893000172,MMGR CONSTRUCOES LTDA
07244008000223,07244008000223,EYES NWHERE SISTEMAS INTELIGENTES DE IMAGEM S.A.
33598462000101,33598462000101,WANDERSON VIEIRA DA SILVA
10292914000127,10292914000127,AUTOPOSTO SANTOS DUMONT LTDA
08258670000203,08258670000203,2 A NAVEGACAO E COMBUSTIVEL LTDA
06939058000181,06939058000181,PRIVADO ENGENHARIA LTDA
61600839001470,61600839001470,CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E
32770054000122,32770054000122,L F AUTO SERVICOS EM VEICULOS LTDA
20718295000143,20718295000143,XMARKET SERVICOS DE APLICACAO E DE HOSPEDAGEM NA INTERNET LTDA.
45094071000139,45094071000139,W. G. SAMPAIO LTDA
33334165000159,33334165000159,URUTAU SISTEMAS LTDA
33597912000141,33597912000141,L P REPRESENTACAO COMERCIAL LTDA
35851017000137,35851017000137,SAULO SILVA DE LIMA
17236587000135,17236587000135,AMAZONAS SERVICOS DE TRANSPORTE DE CARGAS LTDA
07259925000109,07259925000109,INSTITUTO NACIONAL VERITAS DE CULTURA LTDA
00000000000191,00000000000191,BANCO DO BRASIL SA
04958563000148,04958563000148,MAVA VIEIRA DE AGUIAR LTDA
39507953000186,39507953000186,DUAS MAOS LTDA
38924710000180,38924710000180,VJ REPRESENTACAO COMERCIAL LTDA
40244518000195,40244518000195,K. A. S. DA SILVA LTDA
33957719000174,33957719000174,MADRIGAL SERVICOS DA CONSTRUCAO CIVIL LTDA
43192716000140,43192716000140,DAVIDSON SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA
43027393000130,43027393000130,I BEZERRA DA SILVA
19578370000139,19578370000139,A D CORDEIRO FREIRE FILHO
21813552000199,21813552000199,PORTO DE LENHA SERVICOS DE COMUNICACAO LTDA
21817362000140,21817362000140,CONDOMINIO COMERCIAL EDIFICIO CORPORATE TRADE CENTER
52859742000170,52859742000170,52.859.742 SILVIA ROBERTA PADILHA DE OLIVEIRA
63735047000113,63735047000113,ODM LOCACAO DE VEICULOS MAQUINAS E EQUIPAMENTOS LTDA
11212215000192,11212215000192,DEMETRIO SERVICOS DE CONTABILIDADE E COMERCIO DE MATERIAIS LTDA
41037819000100,41037819000100,M. W. P. A. DE SOUZA & CIA LTDA
41757331000158,41757331000158,URUS LTDA
09223179000110,09223179000110,ATITUDE COMERCIO E SERVICOS EM TECNOLOGIA DE INFORMACAO LTDA
49644955000170,49644955000170,49.644.955 JEZIEL FRANCISCO ALVES JUNIOR
36624014000123,36624014000123,HIRIA A NUERNBERGMESSE BRASIL BUSINESS CONGRESSOS E EVENTOS LTDA.
20972053000181,20972053000181,ONE NAVEGACOES LTDA
44610736000157,44610736000157,BRUNO CLIMACO CAMPOS
01126623000178,01126623000178,MATOS CONSTRUTORA E COMERCIO LTDA
15775273000428,15775273000428,JMD LTDA
31631966000150,31631966000150,MAXIMA SOLUCOES LTDA
